AssertionError: ('Bad return', ('profile', 0, 'main()'))
         379218 function calls (361640 primitive calls) in 0.373 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       36    0.000    0.000    0.000    0.000 typing_extensions.py:2358(__eq__)
       35    0.000    0.000    0.000    0.000 {built-in method _operator.index}
    35/27    0.000    0.000    0.013    0.000 css_parser.py:557(parse_pseudo_class)
       34    0.000    0.000    0.002    0.000 typing.py:1223(__getitem__)
       33    0.000    0.000    0.000    0.000 typing.py:380(__repr__)
       33    0.000    0.000    0.000    0.000 typing.py:223(_check_generic)
       33    0.000    0.000    0.000    0.000 dataclasses.py:400(_tuple_str)
       33    0.000    0.000    0.000    0.000 dataclasses.py:436(_field_assign)
       32    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
       32    0.000    0.000    0.000    0.000 typing_extensions.py:2254(_is_unpack)
       32    0.000    0.000    0.000    0.000 abc.py:110(register)
       31    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
    31/26    0.000    0.000    0.012    0.000 css_parser.py:704(parse_pseudo_open)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1710(_parse_hextet)
       31    0.000    0.000    0.000    0.000 typing.py:714(__hash__)
       31    0.000    0.000    0.000    0.000 inspect.py:2687(name)
       30    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
       30    0.000    0.000    0.000    0.000 typing_extensions.py:641(__hash__)
       30    0.000    0.000    0.000    0.000 ipaddress.py:1272(__init__)
       30    0.000    0.000    0.002    0.000 typing.py:523(Optional)
       30    0.000    0.000    0.000    0.000 dataclasses.py:409(<listcomp>)
       30    0.000    0.000    0.000    0.000 dataclasses.py:508(_init_param)
       29    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
       29    0.001    0.000    0.001    0.000 {method 'search' of 're.Pattern' objects}
       28    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
    28/15    0.000    0.000    0.177    0.012 {built-in method builtins.__import__}
       28    0.001    0.000    0.864    0.031 __init__.py:1(<module>)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1586(_make_netmask)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1606(_ip_int_from_string)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1843(_split_scope_id)
       28    0.000    0.000    0.001    0.000 ipaddress.py:2178(__init__)
       28    0.000    0.000    0.000    0.000 inspect.py:2969(<genexpr>)
       27    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       27    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
       27    0.000    0.000    0.001    0.000 <frozen zipimport>:64(__init__)
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
