AssertionError: ('Bad return', ('profile', 0, 'main()'))
         379140 function calls (361575 primitive calls) in 0.334 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      239    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
       24    0.000    0.000    0.000    0.000 enum.py:82(__init__)
       49    0.000    0.000    0.000    0.000 dataclasses.py:286(__init__)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1465(__init__)
       22    0.000    0.000    0.000    0.000 dataclasses.py:391(_fields_in_init_order)
        1    0.000    0.000    0.007    0.007 _events.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _eventloop.py:51(AsyncBackend)
      266    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
        1    0.000    0.000    0.011    0.011 _lxml.py:1(<module>)
        1    0.000    0.000    0.029    0.029 client.py:1(<module>)
       43    0.000    0.000    0.000    0.000 ipaddress.py:1878(__init__)
        1    0.000    0.000    0.003    0.003 from_thread.py:1(<module>)
        1    0.000    0.000    0.085    0.085 _auth.py:1(<module>)
        1    0.000    0.000    0.072    0.072 default.py:1(<module>)
       86    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.002    0.002 pathlib.py:1(<module>)
        2    0.000    0.000    0.000    0.000 connection_pool.py:1(<module>)
        1    0.000    0.000    0.007    0.007 cookiejar.py:1(<module>)
       13    0.000    0.000    0.000    0.000 contextlib.py:252(contextmanager)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:421(spec_from_loader)
       39    0.000    0.000    0.000    0.000 functools.py:65(wraps)
        1    0.000    0.000    0.004    0.004 _readers.py:1(<module>)
       62    0.000    0.000    0.000    0.000 __init__.py:25(__new__)
      299    0.000    0.000    0.000    0.000 css_parser.py:300(get_name)
        1    0.000    0.000    0.001    0.001 parse.py:1(<module>)
        9    0.000    0.000    0.000    0.000 __init__.py:1315(getLogger)
      181    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        6    0.000    0.000    0.000    0.000 inspect.py:3206(__str__)
        1    0.000    0.000    0.005    0.005 sbcsgroupprober.py:1(<module>)
       58    0.000    0.000    0.000    0.000 typing_extensions.py:150(_check_generic)
        1    0.000    0.000    0.016    0.016 _content.py:1(<module>)
        6    0.000    0.000    0.000    0.000 __init__.py:1435(__init__)
      190    0.000    0.000    0.000    0.000 dammit.py:134(<genexpr>)
        2    0.000    0.000    0.002    0.001 _subprocesses.py:1(<module>)
       16    0.000    0.000    0.000    0.000 typing.py:679(_evaluate)
      231    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.000    0.000 dammit.py:522(UnicodeDammit)
       49    0.000    0.000    0.000    0.000 dataclasses.py:367(field)
      123    0.000    0.000    0.000    0.000 enum.py:446(<genexpr>)
        2    0.000    0.000    0.000    0.000 mock.py:1(<module>)
       62    0.000    0.000    0.000    0.000 _status_codes.py:26(__new__)
      216    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(<genexpr>)
       94    0.000    0.000    0.000    0.000 typing.py:1234(<genexpr>)
        1    0.000    0.000    0.000    0.000 zipfile.py:1(<module>)
      239    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
        1    0.000    0.000    0.014    0.014 _connection.py:1(<module>)
        1    0.000    0.000    0.000    0.000 random.py:128(seed)
